id,synagogue_id,street_address,neighborhood,city,state,zip_code,latitude,longitude,location,is_current,start_year,end_year,address_order,geocode_quality,geocoded_at,created_at,updated_at
e91ce4db-78b5-4fd7-92b1-95406236e86c,0d6740ed-88db-4f58-b55b-f1aba9eeca03,Starr & Manavon Sts,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
bc1cdfb4-4fe1-454b-836b-5749ded395a8,0d6740ed-88db-4f58-b55b-f1aba9eeca03,1927-9 N. 31st St,null,Philadelphia,PA,19104,39.96126790,-75.18704370,0101000020E6100000109B2386F8CB52C0E99898D30AFB4340,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
28b794a3-9738-4fae-aaac-d328299d5ff7,0ddcb5ee-73ff-4304-bf31-5b45484e3bbf,Ethical Society 1906 S Rittenhouse Sq,Center City,Philadelphia,PA,19103,39.94893200,-75.17408690,0101000020E61000005F8A613D24CB52C05E10919A76F94340,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
7ff71d91-9d96-4819-81c2-e5fdaebc6f7f,0ee81ec2-ed88-4d55-9f22-e926c0fa3f09,446 N Marshall St,null,Philadelphia,PA,19140,40.01853000,-75.13759300,0101000020E610000025CADE52CEC852C058FFE7305F024440,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
d3961a06-3590-4edd-a4ad-8e2d1e6e9268,0fdffd0f-ca44-40f4-adb1-2e3fe73c6b72,6063 Drexel Rd,Overbrook,Philadelphia,PA,19066,39.98880830,-75.24780590,0101000020E61000006010470DDCCF52C0B641374591FE4340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
24ee95cb-c19e-4bb5-951a-f3d061a94b18,0ff0b485-552a-4486-841b-ad97b288a2df,2401 N. 59th St,null,Philadelphia,PA,19131,39.99030200,-75.24405300,0101000020E6100000675F79909ECF52C0EA944737C2FE4340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
1d5fd376-81bb-4b81-b6f0-c9c4de4c7448,110371d9-28a6-424a-9e20-1264749325d7,133 W Cheltenham Ave.,null,Philadelphia,PA,19126,40.06390620,-75.14031630,0101000020E610000020E637F1FAC852C07D810F142E084440,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
999c081a-7569-4951-be38-e4fe6a84aad2,110371d9-28a6-424a-9e20-1264749325d7,2nd St Pike & Cheltenham Ave,null,Philadelphia,PA,null,null,null,null,false,null,null,1,null,null,2026-02-21 22:38:02.468692+00,2026-02-21 22:38:02.468692+00
3a008b5d-fcfa-426a-b8f4-4ede29b7265c,11bdeac1-ebee-44c3-9be3-90be5d3d9017,8 Merion Rd,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
bc936f66-c0ff-4398-bfff-f1b18cf12ac0,11cc71f8-2b2c-48ad-a6be-cd696d4c82fe,418 Spruce St,Center City,Philadelphia,PA,19106,39.94487950,-75.14950832,0101000020E61000005038588B91C952C09694BBCFF1F84340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
bffb00f5-86bd-45b1-96a3-adfcbdc20ca5,135dd3fa-d5e7-4764-9a0d-6b4a54c8aa16,[The Mcfadden Estate],Francisville,Philadelphia,PA,19130,39.96983100,-75.16029700,0101000020E61000006729594E42CA52C0D0D2156C23FC4340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
e677ec38-88da-4764-a0de-109efb04d887,13614fec-4c0b-4319-bde3-11309d1a1207,Maryland & Lowber Sts,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
31c4dc24-44f6-429e-a1e0-a1b64f14e7c9,13a6a5b0-9e99-4efe-a715-bc43437e93d1,10th & Duncanon Sts,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
576567fc-4622-4eb5-8ef4-82bdd1e906ab,1509c426-8c5a-44ca-b58e-580530778917,Ferndale & Tomlinson Rds,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
bc4e0881-5066-408d-be37-0d28e18737ff,1526b185-e09b-4c69-ba10-ff227f3f76a3,6735 N 16th St,null,Philadelphia,PA,19126,40.05613090,-75.14423933,0101000020E6100000684999373BC952C0C4E51D4C2F074440,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
8198edcc-0bde-49e4-a9d4-62e9aff428b9,1526b185-e09b-4c69-ba10-ff227f3f76a3,7976 Summerdale Ave (at Rhawn St),null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
90f747af-42b4-4989-acc3-5d9a910a8cee,168f294c-9cb5-44ab-9d8b-2d1a80ee68cf,98 Tomlinson Rd,null,Philadelphia,PA,19116,40.12025778,-75.03671789,0101000020E61000009A2EFE9559C252C04418609B640F4440,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
0d3251f0-9ffb-4594-808b-71e997cf448e,16aa6608-9d4d-4b65-aefb-1464c17b102d,3046-8 Berks St,Strawberry Mansion,Philadelphia,PA,19121-1811,39.98502200,-75.18424700,0101000020E6100000B6D8EDB3CACB52C096EB6D3315FE4340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
2dd0c1f8-03c5-416d-afd5-48acc2e62e82,18706a84-0a18-49d3-aaff-15fc12fb1737,262 S 16th St,Center City,Philadelphia,PA,19102,39.94781294,-75.16804756,0101000020E6100000D9978D4AC1CA52C0470336EF51F94340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
ed55d50f-d3c8-4cf0-bffc-837bd54872ea,1883c9fc-cd17-40b2-86e3-572ad87690a6,9037 Eastview St,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
95991a52-adec-40ae-9217-20c4f9aeebd7,1a2f28d9-a22f-4e0a-9867-68b28ad67a22,2402 N 29th St,null,Philadelphia,PA,19132,39.99262463,-75.17965627,0101000020E6100000F70A037D7FCB52C0ED86E9520EFF4340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
bf7d59bb-8e3d-45b0-8208-70996b0fc1ca,1a782125-862f-41d7-94d0-ff6cab0ab973,7816 Halstead St,null,Philadelphia,PA,19111,40.07159700,-75.08277336,0101000020E6100000868BA2284CC552C0F0BE2A172A094440,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
6df3bdf2-a31b-4775-9467-d180eb498a31,1b1e3d0e-f4bc-45d2-8474-4dfe7749da53,85 W Mechanic St,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
756de11d-a903-4e46-9884-0e042e429b47,1bdef080-dc06-4e21-9154-1f79ea8308d8,2302-4 N. Mascher St,null,Philadelphia,PA,19140,39.99272800,-75.13255200,0101000020E61000003E4162BB7BC852C068E90AB611FF4340,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
ee77a3af-a2e2-4cbf-8d89-f5b5f3db5f1a,1d14b9cc-63a2-4a29-91c7-ddf79d31dfe0,625 Dickinson St,South Philadelphia,Philadelphia,PA,19147,39.93016567,-75.15575255,0101000020E610000031218BD9F7C952C087412EAB0FF74340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
9e54d40d-113b-4b44-a9c9-209c78032617,1d3fe9ca-0cd6-4cda-b5a3-29f3d74485f5,375 Stoney Hill Rd,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
6155a6e1-b301-452a-a58a-bb5dd89da5d3,1d4fe5dd-0c13-42cd-9fb9-ae6afe570eb8,1709 S 4th St (at Morris),Dickinson Narrows,Philadelphia,PA,19148-1801,39.92685010,-75.15246880,0101000020E6100000436A7F0CC2C952C0ADE52906A3F64340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
3d2eba68-4f72-4a9c-b533-2a802fc663e1,1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,7763 Old York Rd,West Oak Lane,Philadelphia,PA,null,40.07014230,-75.13321090,0101000020E610000020BE028786C852C07A48426CFA084440,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
b3f4c6b2-82c1-4dea-ba90-aedc9173f6e3,1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Juliana St,null,Philadelphia,PA,null,null,null,null,false,null,null,3,null,null,2026-02-21 22:38:02.468692+00,2026-02-21 22:38:02.468692+00
be0c76e9-cf55-4075-8fd0-176ca0d06cca,1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,3rd & Brown Sts,null,Philadelphia,PA,null,null,null,null,false,null,null,5,null,null,2026-02-21 22:38:02.468692+00,2026-02-21 22:38:02.468692+00
1e98e90a-1260-4bcf-ae0f-ca2c770bff83,1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,2109 N Broad St,null,Philadelphia,PA,null,null,null,null,false,null,null,1,null,null,2026-02-21 22:38:02.468692+00,2026-02-21 22:38:02.468692+00
5bdfd2a5-d89e-4b9d-a973-432cce3c0902,1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,7th St & Columbia Ave,null,Philadelphia,PA,null,null,null,null,false,null,null,2,null,null,2026-02-21 22:38:02.468692+00,2026-02-21 22:38:02.468692+00
c22757fb-9eea-4885-b8c3-afd0001cd532,1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,New Market & Noble Sts,null,Philadelphia,PA,null,null,null,null,false,null,null,4,null,null,2026-02-21 22:38:02.468692+00,2026-02-21 22:38:02.468692+00
a1951b2f-4c52-4ee3-9750-97a82ac82fec,1f5396e9-9bb1-4842-92f9-2dc479a5a3bf,418 Lombard S,Hawthorne,Philadelphia,PA,19110,39.94358700,-75.16556300,0101000020E61000005F9B8D9598CA52C023F77475C7F84340,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
714dbadf-e3de-4cf4-b5f5-5b32ad7f134b,2022ea72-df61-4833-8ea5-e943d562b7c9,157 Fairmount Ave,null,Philadelphia,PA,19123,39.96190082,-75.14082605,0101000020E610000031CB434B03C952C0A2F2E9901FFB4340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
2963685f-b1c6-47ad-81c8-0db0d6696436,2086a572-8c48-4422-8e50-252eed524311,873 N 6th St,null,Philadelphia,PA,19140,39.96686837,-75.14708788,0101000020E61000003B8F48E369C952C0EA57BE57C2FB4340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
358be6ae-5138-45fc-aa4e-919f678db5b5,20e47775-c6bc-496f-8321-2f08a8861571,4th & Catherine Sts,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
4c3f941f-760b-4bde-9eb2-9a4e9477c346,220a3148-6a65-45f5-acf4-a4b37b9fe76a,1212 S 3rd St (at Manton),Pennsport,Philadelphia,PA,19147,39.93268300,-75.14970700,0101000020E6100000DE3EABCC94C952C08044132862F74340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
8db7df7e-d653-4ba1-bb2d-592ec5feb865,22253536-f0ed-4bcb-ab69-c095a90d3ca9,116 Yew Rd,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
7d9ec96d-00ae-45f4-8044-55f8d9cd95ae,230a51ce-ca8d-4758-8020-1bdaa9fa13aa,515 Gaskill (Wheatley Hall),null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
2533628d-a04b-47c9-9e30-c1c4e9076cf5,237f995f-e3a9-4eab-b842-101cf8074580,722 N. 38th St,null,Philadelphia,PA,19104,39.96654040,-75.19810070,0101000020E610000024F48EAEADCC52C0A2218898B7FB4340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
3c1620fc-f39b-4b41-8a6e-d7979f2f487f,2506fccf-db1e-4c73-b985-f8031c132285,2223/5 Wallace St,null,Philadelphia,PA,19139,39.96353390,-75.20877080,0101000020E6100000069733805CCD52C02E8B2E1455FB4340,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
c4eadf2d-48f6-450c-a7e6-355986570f86,25263956-5acd-4e82-9eec-6c2f5b8fc6c3,7838 Whitaker Ave,null,Philadelphia,PA,19111,40.06546000,-75.06976456,0101000020E6100000ABE7C50577C452C01C9947FE60084440,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
53d8cdd9-fa76-443a-b116-68b28d696c40,26b33373-b47b-4a0f-a354-9a07d425b76e,Franklin St above Green St,Haddington,Philadelphia,PA,null,39.96120800,-75.23037300,0101000020E61000006938656EBECE52C0A8531EDD08FB4340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
9b769c0a-feb1-4054-9ee5-a49dde481756,273ba147-2e1f-49f9-af02-b3d0ad776b81,1527 S. 6th St.  (at Cross St),null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
0e5d5762-0bf7-4be0-9fd9-410389a248da,276e996b-f54d-4218-be77-7d109e48ac09,1028 Wyoming Ave,Feltonville,Philadelphia,PA,null,40.01903690,-75.10419450,0101000020E6100000147B681FABC652C0687517CD6F024440,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
bc24bbd2-bab6-4595-8aa1-93954bcef8a6,2797f5c0-1c7f-45ce-aee5-2020ab594683,1939 N 31st St             (3rd Floor),null,Philadelphia,PA,19121,39.98582069,-75.18422292,0101000020E6100000B624EE4ECACB52C094A2535F2FFE4340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
c357a3fd-9ce9-4ab5-ac3e-908b1d0385f5,28673139-0c4c-4781-8c60-ee6b76964480,417 Monroe St,South Philadelphia,Philadelphia,PA,19147,39.94015065,-75.15019856,0101000020E6100000CEC66BDA9CC952C0158843DB56F84340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
ae7004c3-0c8f-458d-bb82-52d58bb247eb,293306d4-0f05-4ed4-b519-23d63d8fc781,728 W              Moyamensing Ave,South Philadelphia,Philadelphia,PA,19148,39.92034750,-75.15970336,0101000020E6100000B910719438CA52C049BA66F2CDF54340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
dc1d036e-f129-4add-963c-31f274fa840b,2941fe3e-33d0-45e6-897e-86c0f25d172d,518 Mifflin St,South Philadelphia,Philadelphia,PA,19145,39.92489120,-75.15521663,0101000020E61000004D69BB11EFC952C0D92DB8D562F64340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
7214fb02-074d-4e5a-8aa3-9b9fac83de0f,297e5cdf-dc38-4af7-8ccb-222cef7c7e9b,31st & Berks Sts,Strawberry Mansion,Philadelphia,PA,19132,39.99308400,-75.18305300,0101000020E6100000D21BEE23B7CB52C0271763601DFF4340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
3aa4f5bb-1974-47a7-b6a7-43f1da76d9fc,2a28ec79-dfd0-479c-a8dd-7c2a2cfba21c,5th & Champlost Sts,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
2c009a24-eaa6-4103-8025-79638780e814,2b1bc9fe-dcdf-4405-92c9-d7c4264348e8,1924-6 Germantown Ave,null,Philadelphia,PA,19140,40.01644090,-75.15413290,0101000020E6100000352F3D50DDC952C08DE843BC1A024440,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
e93ea624-e487-4914-a595-54bfed786b52,2b4399d5-2f59-495b-9048-2ffda012857a,516 S 4th St,Center City,Philadelphia,PA,19147,39.94228300,-75.14913900,0101000020E6100000B9E34D7E8BC952C0D449B6BA9CF84340,true,null,null,0,exact,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
f3e05da8-7de7-4581-a5e0-f0f7cbf99906,2e11ae01-95ce-4b4f-b7b6-a7e49a9bbae9,1627 S. 6th St (nr Mountain St),Old City,Philadelphia,PA,null,39.92796390,-75.15546100,0101000020E61000006CB3B112F3C952C02F2F6585C7F64340,true,null,null,0,approximate,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
0522ab3a-de43-412a-93c0-3a6a3a5793ec,2e650cfe-e995-4edd-9cee-1fde51e4ab3d,3rd & Brown Sts,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
0708f35b-fdf7-484b-9faf-15b4d310adfb,2e9fea45-366d-4cd7-b423-10355ca36d49,19 South Main St,null,Philadelphia,PA,null,39.95272370,-75.16352620,0101000020E61000008242983677CA52C0E3CFA6D9F2F94340,true,null,null,0,low_confidence,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00,2026-02-21 20:57:41.905875+00
