synagogue,full_address,years
Kneseth Chai,"44 Kingsciere Drive; Southampton, PA",1985
Keneseth Israel,"1723 North Broad Street; Philadelphia, PA",1950-1956
Kesher Israel Congregation,"206 North Church Street; West Chester, PA",1973-1987
Keneseth Israel,"984 North Marshall Street; Philadelphia, PA",1950-1971
Kerem Israel Anshe Sefard,"6716 Bustleton Avenue; Philadelphia, PA",1977-1991
Kneses HaSefer- Educational Synagogue of Yardley,"31 West College Avenue; Yardley, PA",1989-1990
Kneses HaSefer- Educational Synagogue of Yardley,"64 South Main Street; Yardley, PA",1992-1996
Kol Ami,"Katz Chapel, Gratz College; Melrose Park, PA",1995-2005
Kol Ami,"8201 High School Road; Elkins Park, PA",2006-2017
Kol Emet,"1360 Oxford Valley Road; Yardley, PA",2001-2017
Lenas HaZedek,"5944 Larchwood Avenue; Philadelphia, PA",1959-1967
Center City Reconstructionist Synagogue,"Gershman Y, Broad and Pine Streets; Philadelphia, PA",2000-2002
Main Line Reform Temple,"235 Latches Lane; Merion, PA",1960
Mikveh Israel,"Broad and York Streets; Philadelphia, PA",1936-1975
Mishkan Shalom,"Darby and Liandillo Roads; Havertown, PA",1989-1991
Mishkan Shalom,"5 Liandillo Road; Havertown, PA",1992-1995
Mishkan Shalom,"8836 Crefeld Street; Philadelphia, PA 19118",1996-2001
Mishkan Shalom,"4101 Freeland Avenue; Philadelphia, PA 19128",2002-2017
Israel Congregation,"325 W. 7th Street; Chester, PA",1961-1972
Mount Airy Jewish Community Center,"920 East Horter Street; Philadelphia, PA",1952-1954
Ramat El,"6400 Ardleigh Street; Philadelphia, PA",1955-1964
Ramat El,"Ardleigh and Johnson Streets; Philadelphia, PA",1965-1983
"See, Neziner Congregation","771 S. Second Street; Philadelphia, PA",1961-1982
Yeadon Jewish Community Center,"1541 Powell Street; Norristown, PA",1982-1988
Ohel Jacob,"Seventh Street and Columbia Avenue; Philadelphia, PA",1961-1964
Ohel Jacob of Oxford Circle,Longshore and Castor Avenues; Philadelphia. PA,1961-1983
Ohev Shalom,"Eighth and Welsh Streets; Chester, PA",1961-1963
Ohev Shalom,"Chester and Providence Roads; Chester, PA",1964
Ohev Zedek,"1355 North Seventh Street; Philadelphia, PA",1951-1959
Ohev Zedek,"1201 E. Mt. Pleasant Avenue; Philadelphia, PA",1961-1977
Yeadon Jewish Community Center,"Manayunk and Krams Avenue; Philadelphia, PA",1949
"Or Ami. See also, Ivy Ridge Jewish Community Center","Ridge Pike between Harts Lane and Barren Hill Road; Lafayette Hills, PA",1961-1963
"Or Ami. See also, Ivy Ridge Jewish Community Center","708 Ivy Ridge Pike; Lafayette Hills, PA 19444",1964-2010
Or Shalom,"PO Box 476; Wayne, PA",1975-1981
Or Shalom,"139 E. Lancaster Ave.; Wayne, PA",1982-1984
Oxford Circle Jewish Community Center-                  Beth Israel,"6645 Castor Avenue; Philadelphia, PA",1951-1952
Oxford Circle Jewish Community Center-                  Beth Israel,"Algon and Unruh Avenues; Philadelphia, PA",1953-1982
Pennypack Jewish Community Center,"2605 Welch Road; Philadelphia, PA",1963-1997
Pnai Or Religious Fellowship of Philadelphia-Jewish Renewal,"6757 Greene Street; Philadelphia, PA",2017
Raim Ahuvim,"5854 Drexel Road; Philadelphia, PA 19131",1961-2017
Shaarei Eli,"512 Ritner Street; Philadelphia, PA",1961-1963
Shaarei Eli,"Eighth and Porter Streets; Philadelphia, PA",1964-1983
Greater Northeast Congregation,"Verree Road above Welch Road; Philadelphia, PA",1963-1982
Shaare Zedek.,"5301 Old York Road; Philadelphia, PA",1988-2001
Shaare Zedek.,"52nd and Columbia Avenue; Philadelphia, PA",1936
Shaare Zedek.,"51st Street and Columbia Avenue; Philadelphia, PA",1950-1975
Shaari Israel,"2509 S. Fourth Street; Philadelphia, PA",1974-1977
Beth El,"7530 Lawler Street; Philadelphia, PA",2017
Temple Isaiah,"8891 Old Farm Road; Philadelphia, PA",1996
