id,synagogue_id,synagogue_name,street_address,city,state,zip_code,start_year,end_year,source,latitude,longitude,formatted_address,geocode_status
80f19a3c-58ac-4efd-8ac2-a7531cb134b5,fda6ac89-4aec-4e70-8efd-7cee29e9d8a9,Congregation Mikveh Israel,Broad and York Streets,Philadelphia,PA,19132,1936.0,1975.0,other_addresses,39.98919069999999,-75.15544729999999,"Broad St & York St, Philadelphia, PA 19132, USA",OK
8cd16f55-792d-4103-9693-c62a9249d1a6,fda6ac89-4aec-4e70-8efd-7cee29e9d8a9,Congregation Mikveh Israel,44 North 4th Street,Philadelphia,PA,19106,1975.0,,other_addresses,39.95133510000001,-75.1474401,"44 N 4th St, Philadelphia, PA 19106, USA",OK
edb58836-c761-4f15-bd28-a59f9530ebb3,4eb871cc-1c77-403a-8532-49409534c125,Congregation Mishkan Shalom,Darby and Liandillo Roads,Havertown,PA,19083,1989.0,1991.0,other_addresses,39.9763656,-75.3149796,"Havertown, PA 19083, USA",OK
f6b10b4a-54a2-4dad-bbc8-35103a641b1c,4eb871cc-1c77-403a-8532-49409534c125,Congregation Mishkan Shalom,5 Liandillo Road,Havertown,PA,19083,1992.0,1995.0,other_addresses,39.9763656,-75.3149796,"Havertown, PA 19083, USA",OK
866029bc-c32e-48ac-bad1-e802c94f6697,4eb871cc-1c77-403a-8532-49409534c125,Congregation Mishkan Shalom,8836 Crefeld Street,Philadelphia,PA,19118,1996.0,2001.0,other_addresses,40.0764785,-75.2145407,"8836 Crefeld St, Philadelphia, PA 19118, USA",OK
8493a69f-303b-4459-b2a7-84a22efe46ce,4eb871cc-1c77-403a-8532-49409534c125,Congregation Mishkan Shalom,4101 Freeland Avenue,Philadelphia,PA,19128,2002.0,,other_addresses,40.0264171,-75.2121246,"4101 Freeland Ave, Philadelphia, PA 19128, USA",OK
5ec96bb2-02cd-4782-b7c3-054158d136ec,396584ea-f607-49f2-bdce-1917780c813d,Mishpallelim Congregation,325 West 7th Street,Chester,PA,19013,1961.0,1972.0,other_addresses,39.847617,-75.3675921,"325 W 7th St, Chester, PA 19013, USA",OK
d6b33900-13db-46ad-a952-616b62c6d5c8,d8b48746-32d1-4581-9878-8d4449d6e91a,Montefiore Synagogue,2911 North 8th Street,Philadelphia,PA,19133,1955.0,1970.0,other_addresses,39.9961709,-75.1441286,"2911 N 8th St, Philadelphia, PA 19133, USA",OK
94caadc0-9c4c-4df4-853b-71ab41a34ad5,407ed2ba-5cd4-4379-87f8-fe3ae6608aa8,Mount Airy Jewish Community Center,920 East Hortter Street,Philadelphia,PA,19150,1952.0,1954.0,other_addresses,40.0640061,-75.1712656,"920 E Hortter St, Philadelphia, PA 19150, USA",OK
ec56ccb3-bc83-429a-84e0-78f6ee864b8e,79c66617-0e20-4622-9647-cf3503fa5ff8,Ramat El,6400 Ardleigh Street,Philadelphia,PA,19119,1955.0,1964.0,other_addresses,40.0564091,-75.1720777,"6400 Ardleigh St, Philadelphia, PA 19119, USA",OK
751d921b-e64b-4100-b3c0-7449de130a74,79c66617-0e20-4622-9647-cf3503fa5ff8,Ramat El,Ardleigh and Johnson Streets,Philadelphia,PA,19138,1965.0,1983.0,other_addresses,40.05639,-75.1714618,"E Johnson St & Ardleigh St, Philadelphia, PA 19138, USA",OK
2f137af8-9278-40fc-86da-4275ef271b9d,8c5d3dcd-c2d8-430b-94bd-ef2dc93b267e,Temple Brith Kodesh,1237 Wellington Street,Philadelphia,PA,19111,1957.0,1962.0,other_addresses,40.0523439,-75.0710969,"1237 Wellington St, Philadelphia, PA 19111, USA",OK
6220d584-da95-4a8f-a5c3-acf6d3ac262c,a47ce4d0-d334-4dd6-a9ae-81192957aa61,(Congregation) Ner Zedek,Bustleton and Oakmont Streets,Philadelphia,PA,19152,1963.0,1996.0,other_addresses,40.0516159,-75.0565736,"Oakmont St & Bustleton Ave, Philadelphia, PA 19152, USA",OK
cf6cf3e4-f645-46e8-8938-d0717aa4f5c5,6e0105fe-b673-4ed0-a9bb-af467cdac99a,(Congregation) Ner Zedek-Ezrath Israel-Beth Uziel,7520 Bustleton Avenue,Philadelphia,PA,19152,1997.0,,other_addresses,40.0518698,-75.0566571,"7520 Bustleton Ave, Philadelphia, PA 19152, USA",OK
bf3a7afe-6ce1-423c-95ac-2b0d73a456aa,56ee3578-4fe7-4abd-a000-f7238b11277c,Nes Ami Penn Valley Congregation,50 Ashland Avenue,Philadelphia,PA,19004,1971.0,1977.0,other_addresses,40.02583200000001,-75.23283719999999,"50 Ashland Ave, Belmont Hills, PA 19004, USA",OK
7f6611c1-3276-47e7-bb7b-763ea2dab059,56ee3578-4fe7-4abd-a000-f7238b11277c,Nes Ami Penn Valley Congregation,259 -Chester Road,Radnor,PA,19087,1978.0,,other_addresses,40.0462208,-75.3599105,"Radnor, PA 19087, USA",OK
ea370801-4350-488b-8fe6-6e1e6efd6b0d,f8805967-644f-4179-89af-dc4e47425cde,Neziner Congregation,771 South 2nd Street,Philadelphia,PA,19147,1961.0,1982.0,other_addresses,39.9382601,-75.1461696,"771 S 2nd St, Philadelphia, PA 19147, USA",OK
