synagogue_name,street_address,neighborhood,city,state,full_address,is_current,address_order
Aitz Chaim VeZichron Jacob,3209 Cumberland St,Strawberry Mansion,Philadelphia,PA,"3209 Cumberland St, Philadelphia, PA",True,0
"Aitz Chaim. Also, Heiner Fiscal ""chicken foot"" Shul; Kaiserman Shul",4166 Viola St,West Philly,Philadelphia,PA,"4166 Viola St, Philadelphia, PA",True,0
"Anshe Birz. See, [Chevra] Poale Zedek-Anshe Birz",6th and South Sts,South Philly,Philadelphia,PA,"6th and South Sts, Philadelphia, PA",True,0
"Anshe Emeth. Also, Aitz Chaim",1537 S. 7th St,South Philly,Philadelphia,PA,"1537 S. 7th St, Philadelphia, PA",True,0
"Anshe Emeth. See, B'nai Halberstam",New Market St above Poplar St,Northern Liberties,Philadelphia,PA,"New Market St above Poplar St, Philadelphia, PA",True,0
"Anshe Hisan. Also, Chevra Heisner; Heisinger Congregation; Hesiner Independent Young Men's Society",1729 S.6th St,South Philly,Philadelphia,PA,"1729 S.6th St, Philadelphia, PA",True,0
"Anshe Kuppel Vohliner. Also, Chevra Vohliner Anshe Kuppel",928 S. 6th St,South Philly,Philadelphia,PA,"928 S. 6th St, Philadelphia, PA",True,0
"Anshe Lubowitz nusach Ari [Chevra]                           Also, Chevra Mishnais Anshe Lubavitch",951 N. Franklin St,Marshall St,Philadelphia,PA,"951 N. Franklin St, Philadelphia, PA",True,0
Anshe Ostropolier,916 N. Franklin St,Marshall St,Philadelphia,PA,"916 N. Franklin St, Philadelphia, PA",True,0
Anshe Sholem,1924-6 Germantown Ave,North Philly,Philadelphia,PA,"1924-6 Germantown Ave, Philadelphia, PA",True,0
Anshe Shulamit,4th & Poplar Sts,Marshall St,Philadelphia,PA,"4th & Poplar Sts, Philadelphia, PA",True,0
Anshe Wohliner,322 Bainbridge St,South Philly,Philadelphia,PA,"322 Bainbridge St, Philadelphia, PA",True,0
Atereth Israel of Overbrook,1243 N. 60th St,West Philly,Philadelphia,PA,"1243 N. 60th St, Philadelphia, PA",True,0
"Atereth Israel.                                                                  Also, [Chevra] Ateres Anshe Brohin V'Choimetsh",1638 S. 6th St,South Philly,Philadelphia,PA,"1638 S. 6th St, Philadelphia, PA",True,0
"Atereth Israel.                                                                  Also, [Chevra] Ateres Anshe Brohin V'Choimetsh",(at Morris St),,Philadelphia,PA,"(at Morris St), Philadelphia, PA",False,1
"Atereth Israel. (Previously B'nai Aruyh Moshel) Also, Jewish Farmers' Shul",3119 S. 84th St,SW Philly,Philadelphia,PA,"3119 S. 84th St, Philadelphia, PA",True,0
"Atereth Israel. (Previously B'nai Aruyh Moshel) Also, Jewish Farmers' Shul",(at Harley St),,Philadelphia,PA,"(at Harley St), Philadelphia, PA",False,1
"Austrian Galizianer Shul. Also, Ohavas Achim Ostreicher",507 Tasker St,South Philly,Philadelphia,PA,"507 Tasker St, Philadelphia, PA",True,0
"Austro-Hungarian Congregation.                                Also, [Chevra] Re'im Ahuvim",5884 Overbrook Ave.,Wynnefield SW Philly,Philadelphia,PA,"5884 Overbrook Ave., Philadelphia, PA",True,0
"Austro-Hungarian Congregation.                                Also, [Chevra] Re'im Ahuvim",NE corner 59th St & Cedar Ave,,Philadelphia,PA,"NE corner 59th St & Cedar Ave, Philadelphia, PA",False,1
Beit Harambam,9981 Verree Rd,Northeast,Philadelphia,PA,"9981 Verree Rd, Philadelphia, PA",True,0
Bessarbier Talmud Torah,1627 S. 6th St (nr Mountain St),South Philly,Philadelphia,PA,"1627 S. 6th St (nr Mountain St), Philadelphia, PA",True,0
Beth Abraham,3040 N. 22nd St,North Philly,Philadelphia,PA,"3040 N. 22nd St, Philadelphia, PA",True,0
Beth Ahavah,615 N Broad St 8 Leticia St,Center City,Philadelphia,PA,"615 N Broad St 8 Leticia St, Philadelphia, PA",True,0
Beth Am Israel,1301 Hagys Ford Rd,Main Line SW Philly,Philadelphia,PA,"1301 Hagys Ford Rd, Philadelphia, PA",True,0
Beth Am Israel,58th & Warrington Sts,,Philadelphia,PA,"58th & Warrington Sts, Philadelphia, PA",False,1
Beth Ami,9201 Bustleton Ave,Northeast Philly,Philadelphia,PA,"9201 Bustleton Ave, Philadelphia, PA",True,0
Beth Chaim,350 East Street Rd,Feasterville,Philadelphia,PA,"350 East Street Rd, Philadelphia, PA",True,0
Beth Chaim Reform Congregation,389 Conestoga Rd,Malvern,Philadelphia,PA,"389 Conestoga Rd, Philadelphia, PA",True,0
Beth David,328 Catherine St,South Philly South Philly,Philadelphia,PA,"328 Catherine St, Philadelphia, PA",True,0
Beth David,528 Bainbridge St,,Philadelphia,PA,"528 Bainbridge St, Philadelphia, PA",False,1
Beth David Reform,1130 Vaughans Lane,Main Line,Philadelphia,PA,"1130 Vaughans Lane, Philadelphia, PA",True,0
Beth David Reform,5220 Wynnefield Ave,Wynnefield,Philadelphia,PA,"5220 Wynnefield Ave, Philadelphia, PA",False,1
Beth El,Maryland & Lowber Sts,Oak Lane,Philadelphia,PA,"Maryland & Lowber Sts, Philadelphia, PA",True,0
Beth El: Also Rothschild Memorial Synagogue,58th & Walnut Sts,West Philly,Philadelphia,PA,"58th & Walnut Sts, Philadelphia, PA",True,0
Beth El Emeth,Franklin St above Green St,Northern Liberties,Philadelphia,PA,"Franklin St above Green St, Philadelphia, PA",True,0
Beth El of Bucks County,375 Stony Hill Rd,Yardley,Philadelphia,PA,"375 Stony Hill Rd, Philadelphia, PA",True,0
"Beth El, Suburban",715 Paxon Hollow Rd,Main Line,Philadelphia,PA,"715 Paxon Hollow Rd, Philadelphia, PA",True,0
Beth El-Ner Tamid,715 Paxon Hollow,Main Line,Philadelphia,PA,"715 Paxon Hollow, Philadelphia, PA",True,0
Beth El-Ner Tamid,Rd,,Philadelphia,PA,"Rd, Philadelphia, PA",False,1
Beth Elohim,16th St & Columbia Ave,North Philly,Philadelphia,PA,"16th St & Columbia Ave, Philadelphia, PA",True,0
"Beth Elohim. Also, Krakauer-Beth Elohim Beneficial Association; [The] Hollander Shul; B'nai Israel",510 S. 5th St,South Philly,Philadelphia,PA,"510 S. 5th St, Philadelphia, PA",True,0
Beth Emeth.,Bustleton & Unruh Aves,Northeast Philly,Philadelphia,PA,"Bustleton & Unruh Aves, Philadelphia, PA",True,0
Beth Emeth.,5217 Woodland Ave,SW Philly,Philadelphia,PA,"5217 Woodland Ave, Philadelphia, PA",True,0
Beth HaKeneseth,900 N. 7th St,Marshall St,Philadelphia,PA,"900 N. 7th St, Philadelphia, PA",True,0
Beth HaKeneseth Ben Markowitz,SW corner 5th & Moore Sts,South Philly,Philadelphia,PA,"SW corner 5th & Moore Sts, Philadelphia, PA",True,0
Beth HaKeneseth Brezofsky,3221 Clifford St,Strawberry Mansion,Philadelphia,PA,"3221 Clifford St, Philadelphia, PA",True,0
Beth HaKeneseth Northern Hungarian,415 N.4th St,Old City,Philadelphia,PA,"415 N.4th St, Philadelphia, PA",True,0
"Beth HaKeneseth Reb Eichler. Also see, Beth HaKenesses Reb Hirshel",417 Monroe St,South Philly,Philadelphia,PA,"417 Monroe St, Philadelphia, PA",True,0
Beth HaKneseth-Beth Shalom,2302 S. 6th St,South Philly,Philadelphia,PA,"2302 S. 6th St, Philadelphia, PA",True,0
Beth Hakneseth-Talmud,2340 N. 30th St,Strawberry Mansion,Philadelphia,PA,"2340 N. 30th St, Philadelphia, PA",True,0
Torah Anshe Sfard,(nr. York),,Philadelphia,PA,"(nr. York), Philadelphia, PA",True,0
